TITLE,AUTHOR,FILEPATH
The Mystery Of The Boule Cabinet,['Burton Egbert Stevenson'],./data/1/0/0/6/10067/10067.txt
The Power and the Glory,['Grace MacGowan Cooke'],./data/1/0/0/6/10068/10068.txt
Account of the Romansh Language,"['Joseph Planta', 'Esq. F.R.S.']",./data/1/0/0/6/10069/10069.txt
Stories of Great Americans for Little Americans,['Edward Eggleston'],./data/1/0/0/7/10070/10070.txt
By-Ways of Bombay,"['S.M. Edwardes', 'C.V.O.']",./data/1/0/0/7/10071/10071.txt
English Housewifery Exemplified,['Elizabeth Moxon'],./data/1/0/0/7/10072/10072.txt
The Century Vocabulary Builder,['Creever & Bachelor'],./data/1/0/0/7/10073/10073.txt
"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",['Various'],./data/1/0/0/7/10074/10074.txt
"A Narrative of the Life and Adventures of Venture, a Native of",['Venture Smith'],./data/1/0/0/7/10075/10075.txt
Lister's Great Adventure,['Harold Bindloss'],./data/1/0/0/7/10076/10076.txt
"The Atlantic Monthly, Volume 10, Number 60, October 1862",['Various'],./data/1/0/0/7/10077/10077.txt
Plain Words From America,['Douglas W. Johnson'],./data/1/0/0/7/10078/10078.txt
"The Atlantic Monthly, Volume 2, Number 9, July, 1858",['Various'],./data/1/0/0/7/10079/10079.txt
Mobilizing Woman-Power,['Harriot Stanton Blatch'],./data/1/0/0/8/10080/10080.txt
The Boy Allies at Jutland,['Robert L. Drake'],./data/1/0/0/8/10081/10081.txt
The Hampstead Mystery,['John R. Watson'],./data/1/0/0/8/10082/10082.txt
The House of the Whispering Pines,['Anna Katharine Green'],./data/1/0/0/8/10083/10083.txt
Kazan,['James Oliver Curwood'],./data/1/0/0/8/10084/10084.txt
Moorish Literature,['Anonymous'],./data/1/0/0/8/10085/10085/10085.txt
The Minute Boys of the Mohawk Valley,['James Otis'],./data/1/0/0/8/10086/10086.txt
Old Lady Number 31,['Louise Forsslund'],./data/1/0/0/8/10087/10087.txt
Thaumaturgia,['An Oxonian'],./data/1/0/0/8/10088/10088.txt
Elves and Heroes,['Donald A. MacKenzie'],./data/1/0/0/8/10089/10089.txt
Peaceless Europe,['Francesco Saverio Nitti'],./data/1/0/0/9/10090/10090.txt
"Punchinello, Vol. II., Issue 31, October 29, 1870",['Various'],./data/1/0/0/9/10091/10091/10091.txt
"Punchinello Vol. II., No. 30,  October 22, 1870",['Various'],./data/1/0/0/9/10092/10092/10092.txt
Gutta-Percha Willie,['George MacDonald'],./data/1/0/0/9/10093/10093.txt
A Soldier of Virginia ,['Burton Egbert Stevenson'],./data/1/0/0/9/10094/10094.txt
"The Twilight of the Gods, and Other Tales",['Richard Garnett'],./data/1/0/0/9/10095/10095.txt
The Trojan women of Euripides,['Euripides'],./data/1/0/0/9/10096/10096/10096.txt
The Healing of Nations and the Hidden Sources of Their Strife,['Edward Carpenter'],./data/1/0/0/9/10097/10097/10097.txt
How Jerusalem Was Won,['W.T. Massey'],./data/1/0/0/9/10098/10098/10098.txt
Towards The Goal,['Mrs. Humphry Ward'],./data/1/0/0/9/10099/10099/10099.txt
Byron,['John Nichol'],./data/1/0/1/0/10100/10100.txt
A Little Boy Lost,"['Hudson', 'W.H.']",./data/1/0/1/0/10101/10101/10101.txt
The Czar's Spy,['William Le Queux'],./data/1/0/1/0/10102/10102/10102.txt
"The Great Events by Famous Historians, Vol. 8",['Rossiter Johnson'],./data/1/0/1/0/10103/10103/10103.txt
"Punchinello, Vol. 2., No. 32,  November 5, 1870",['Various'],./data/1/0/1/0/10104/10104.txt
"Punchinello, Vol. II., No. 33, November 12, 1870",['Various'],./data/1/0/1/0/10105/10105/10105.txt
"Punchinello, Vol. II., No. 34, November 19, 1870",['Various'],./data/1/0/1/0/10106/10106/10106.txt
