TITLE,AUTHOR,FILEPATH,BOOKURL
A Sicilian Romance,['Ann Radcliffe'],./data/7/3/7/7371/7371.txt,http://www.iblist.com/book15276.htm
A Stone and a Spear,['Raymond F. Jones'],./data/5/1/0/7/51075/51075.txt,http://www.iblist.com/book12849.htm
"A Struggle for Rome, v. 1",['Felix Dahn'],./data/3/2/2/7/32271/32271.txt,http://www.iblist.com/book68873.htm
"A Struggle for Rome, v. 3",['Felix Dahn'],./data/3/2/3/7/32377/32377.txt,http://www.iblist.com/book68873.htm
A Study In Scarlet,['Arthur Conan Doyle'],./data/2/4/244/244.txt,http://www.iblist.com/book2142.htm
A Tale of Two Cities,['Charles Dickens'],./data/9/98/98.txt,http://www.iblist.com/book2304.htm
A Voyage to Arcturus,['David Lindsay'],./data/1/3/2/1329/1329.txt,http://www.iblist.com/book16830.htm
A Witch Shall Be Born,['Robert E. Howard'],./data/4/2/2/2/42227/42227.txt,http://www.iblist.com/book34589.htm
A Woman of No Importance,['Oscar Wilde'],./data/5/1/5/6/51563/51563.txt,http://www.iblist.com/book65792.htm
A Woman of No Importance,['Oscar Wilde'],./data/8/5/854/854-0.txt,http://www.iblist.com/book65792.htm
A. V. Laider,['Max Beerbohm'],./data/7/6/761/761.txt,http://www.iblist.com/book64067.htm
Aaron's Rod,['D.H. Lawrence'],./data/4/5/2/4520/4520.txt,http://www.iblist.com/book56606.htm
Adam Bede,['George Eliot'],./data/5/0/507/507.txt,http://www.iblist.com/book14951.htm
Adventure,['Jack London'],./data/1/1/6/1163/1163.txt,http://www.iblist.com/book1064.htm
"Adventures of Huckleberry Finn, Part 1",['Mark Twain'],./data/7/1/0/7100/7100.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 2",['Mark Twain'],./data/7/1/0/7101/7101.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 3",['Mark Twain'],./data/7/1/0/7102/7102.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 4",['Mark Twain'],./data/7/1/0/7103/7103.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 5",['Mark Twain'],./data/7/1/0/7104/7104.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 6",['Mark Twain'],./data/7/1/0/7105/7105.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 7",['Mark Twain'],./data/7/1/0/7106/7106.txt,http://www.iblist.com/book1932.htm
"Adventures of Huckleberry Finn, Part 8",['Mark Twain'],./data/7/1/0/7107/7107.txt,http://www.iblist.com/book1932.htm
Adventures of Sherlock Holmes,['A. Conan Doyle'],./data/4/8/3/2/48320/48320-0.txt,http://www.iblist.com/book2147.htm
After the Divorce,['Grazia Deledda'],./data/3/9/8/3/39834/39834.txt,http://www.iblist.com/book42794.htm
Agamemnon,['Aeschylus'],./data/1/4/4/1/14417/14417.txt,http://www.iblist.com/book13154.htm
Agnes Grey,['Anne Bronte'],./data/7/6/767/767.txt,http://www.iblist.com/book14480.htm
Alcestis,['Euripides'],./data/1/0/5/2/10523/10523/10523.txt,http://www.iblist.com/book57605.htm
Alice Adams,['Booth Tarkington'],./data/9/8/980/980.txt,http://www.iblist.com/book68108.htm
Alice's Adventures in Wonderland,['Lewis Carroll'],./data/1/11/11.txt,http://www.iblist.com/book3.htm
Alice's Adventures in Wonderland,['Lewis Carroll'],./data/2/8/8/8/28885/28885.txt,http://www.iblist.com/book3.htm
Allan Quatermain,['H. Rider Haggard'],./data/7/1/711/711.txt,http://www.iblist.com/book13055.htm
Almayer's Folly,['Joseph Conrad'],./data/7/2/720/720.txt,http://www.iblist.com/book1058.htm
Amphitryon,['Moliere'],./data/2/5/3/2536/2536.txt,http://www.iblist.com/book49494.htm
An Essay on Criticism,['Alexander Pope'],./data/7/4/0/7409/7409.txt,http://www.iblist.com/book18760.htm
An Ideal Husband,['Oscar Wilde'],./data/8/8/885/885.txt,http://www.iblist.com/book13728.htm
An Old-fashioned Girl,['Louisa May Alcott'],./data/2/7/8/2787/2787.txt,http://www.iblist.com/book15409.htm
An Ounce of Cure,['Alan Edward Nourse'],./data/2/2/8/6/22866/22866.txt,http://www.iblist.com/book69952.htm
An Outcast of the Islands,['Joseph Conrad'],./data/6/3/638/638.txt,http://www.iblist.com/book1062.htm
An Unsocial Socialist,['George Bernard Shaw'],./data/1/6/5/1654/1654.txt,http://www.iblist.com/book15982.htm
And Then the Town Took Off,['Richard Wilson'],./data/4/2/1/1/42111/42111.txt,http://www.iblist.com/book7587.htm
Anna Christie,"[""Eugene O'Neill""]",./data/4/0/2/4025/4025.txt,http://www.iblist.com/book15069.htm
Anna Karenina,['Leo Tolstoy'],./data/1/3/9/1399/1399.txt,http://www.iblist.com/book1952.htm
Anne Of Avonlea,['Lucy Maud Montgomery'],./data/4/47/47.txt,http://www.iblist.com/book8823.htm
Anne Of The Island,['Lucy Maud Montgomery'],./data/5/51/51.txt,http://www.iblist.com/book8825.htm
Anne of Green Gables,['Lucy Maud Montgomery'],./data/4/45/45.txt,http://www.iblist.com/book8822.htm
Anne's House of Dreams,['Lucy Maud Montgomery'],./data/5/4/544/544.txt,http://www.iblist.com/book8828.htm
Anthem,['Ayn Rand'],./data/1/2/5/1250/1250.txt,http://www.iblist.com/book1624.htm
Arcadian Adventures with the Idle Rich,['Stephen Leacock'],./data/4/0/2/4020/4020.txt,http://www.iblist.com/book65704.htm
Armadale,['Wilkie Collins'],./data/1/8/9/1895/1895.txt,http://www.iblist.com/book17037.htm
Arms and the Man,['George Bernard Shaw'],./data/3/6/1/3618/3618.txt,http://www.iblist.com/book2728.htm
Artemis to Actaeon and Other Worlds,['Edith Wharton'],./data/4/5/4/4549/4549.txt,http://www.iblist.com/book3039.htm
As You Like It,['William Shakespeare'],./data/1/1/2/1121/1121.txt,http://www.iblist.com/book2123.htm
At Aboukir and Acre,['George Alfred Henty'],./data/2/2/2/2/22224/22224.txt,http://www.iblist.com/book50746.htm
At Agincourt,['G.A. Henty'],./data/7/0/6/7060/7060.txt,http://www.iblist.com/book50748.htm
At the Back of the North Wind,['George MacDonald'],./data/2/2/225/225.txt,http://www.iblist.com/book11225.htm
At the Earth's Core,['Edgar Rice Burroughs'],./data/1/2/123/123.txt,http://www.iblist.com/book66980.htm
At the Earth's Core,['Edgar Rice Burroughs'],./data/5/4/545/545.txt,http://www.iblist.com/book66980.htm
Babbitt,['Sinclair Lewis'],./data/1/1/5/1156/1156.txt,http://www.iblist.com/book14297.htm
Bar-20 Days,['Clarence E. Mulford'],./data/4/9/2/4922/4922.txt,http://www.iblist.com/book47206.htm
Barchester Towers,['Anthony Trollope'],./data/3/4/0/3409/3409.txt,http://www.iblist.com/book23564.htm
Barnaby Rudge,['Charles Dickens'],./data/9/1/917/917.txt,http://www.iblist.com/book33147.htm
Barrack-Room Ballads,['Rudyard Kipling'],./data/2/8/1/2819/2819.txt,http://www.iblist.com/book14013.htm
Barry Lyndon,['William Makepeace Thackeray'],./data/4/5/5/4558/4558.txt,http://www.iblist.com/book15302.htm
Bars and Shadows,['Ralph Chaplin'],./data/6/1/3/6136/6136.txt,http://www.iblist.com/book21391.htm
Bartholomew Fair,['Ben Jonson'],./data/4/9/4/6/49461/49461-8.txt,http://www.iblist.com/book20460.htm
Basil,['Wilkie Collins'],./data/4/6/0/4605/4605.txt,http://www.iblist.com/book17038.htm
Battle-Pieces and Aspects of the War,['Herman Melville'],./data/1/2/3/8/12384/12384.txt,http://www.iblist.com/book31784.htm
Bayou Folk,['Kate Chopin'],./data/4/6/6/5/46650/46650.txt,http://www.iblist.com/book14610.htm
Beasts and Super-Beasts,['Saki'],./data/2/6/269/269-0.txt,http://www.iblist.com/book61475.htm
Beauty and the Beast,['Marie Le Prince de Beaumont'],./data/7/0/7/7074/7074.txt,http://www.iblist.com/book57731.htm
Before Adam,['Jack London'],./data/3/1/310/310.txt,http://www.iblist.com/book28739.htm
Before Egypt,['E.K. Jarvis'],./data/3/0/9/3/30932/30932.txt,http://www.iblist.com/book5409.htm
Bel Ami,['Henri Rene Guy de Maupassant'],./data/3/7/3/3733/3733.txt,http://www.iblist.com/book41520.htm
Belinda,['A.A. Milne'],./data/6/9/9/6992/6992.txt,http://www.iblist.com/book5761.htm
Beowulf,['Unknown'],./data/9/7/0/9700/9700.txt,http://www.iblist.com/book1351.htm
Beowulf,['Unknown'],./data/9/7/0/9701/9701-0.txt,http://www.iblist.com/book1351.htm
Beric the Briton,['G.A. Henty'],./data/7/0/3/7037/7037.txt,http://www.iblist.com/book31955.htm
Beside Still Waters,['Robert Sheckley'],./data/2/9/4/4/29446/29446.txt,http://www.iblist.com/book39900.htm
Beside the Still Waters,['Charles Beard'],./data/2/0/4/0/20402/20402.txt,http://www.iblist.com/book39900.htm
Betty Zane,['Zane Grey'],./data/1/2/6/1261/1261.txt,http://www.iblist.com/book56506.htm
Beyond Bedlam,['Wyman Guin'],./data/5/1/8/4/51842/51842.txt,http://www.iblist.com/book3235.htm
Beyond Good and Evil,['Friedrich Nietzsche'],./data/4/3/6/4363/4363.txt,http://www.iblist.com/book58806.htm
Beyond the Black River,['Robert E. Howard'],./data/4/2/2/5/42254/42254.txt,http://www.iblist.com/book34623.htm
Black Beauty,['Anna Sewell'],./data/2/7/271/271.txt,http://www.iblist.com/book23199.htm
Bleak House,['Charles Dickens'],./data/1/0/2/1023/1023.txt,http://www.iblist.com/book26890.htm
Blind Love,['Wilkie Collins'],./data/7/8/9/7890/7890.txt,http://www.iblist.com/book17042.htm
Bonnie Prince Charlie,['G.A. Henty'],./data/7/0/0/7006/7006.txt,http://www.iblist.com/book50749.htm
Both Sides the Border,['G.A. Henty'],./data/1/9/0/7/19070/19070.txt,http://www.iblist.com/book50750.htm
Bouvard and Pecuchet,['Gustave Flaubert'],./data/2/5/0/1/25014/25014.txt,http://www.iblist.com/book67337.htm
Brightside Crossing,['Alan Edward Nourse'],./data/4/9/1/6/49165/49165-0.txt,http://www.iblist.com/book24338.htm
"Buck Peters, Ranchman","['Clarence E. Mulford', 'John Wood Clay']",./data/4/2/8/0/42800/42800.txt,http://www.iblist.com/book47202.htm
By Conduct and Courage,['G.A. Henty'],./data/2/8/3/5/28357/28357.txt,http://www.iblist.com/book50794.htm
By England's Aid,['G.A. Henty'],./data/6/9/5/6953/6953.txt,http://www.iblist.com/book50795.htm
By England's Aid,['G.A. Henty'],./data/8/6/7/8679/8679.txt,http://www.iblist.com/book50795.htm
By Pike and Dyke,['G.A. Henty'],./data/6/9/5/6952/6952.txt,http://www.iblist.com/book50796.htm
By Right of Conquest,['G.A. Henty'],./data/1/9/3/9/19398/19398.txt,http://www.iblist.com/book50797.htm
By Sheer Pluck,['G.A. Henty'],./data/8/5/7/8576/8576.txt,http://www.iblist.com/book50798.htm
